댐코드,댐이름,유입량성능등급,입력변수세트,방류량모델,유입량예측모델,학습행수,평가행수,전체_기준선_MAE,전체_모델_MAE,전체_개선율(%),전체_모델_R2
4104610,주암(조)댐,양호,기본변수,RandomForest,GradientBoosting,17472,8760,6.73137100456621,4.296992367855419,36.164677820602,0.5743816030510811
2015110,합천댐,우수,예측유입량포함,GradientBoosting,RandomForest,17381,8695,19.741426106958023,13.051077640507282,33.88989442911966,0.5103312026898257
2001110,안동댐,주의,기본변수,GradientBoosting,XGBoost,17221,8760,31.34787100456621,23.006756655787033,26.60823233438784,0.28803826108321584
3008110,대청댐,양호,기본변수,XGBoost,GradientBoosting,17443,8369,41.12401899868562,36.35131652630733,11.605632398260573,0.396934461215691
2002110,임하댐,양호,예측유입량포함,XGBoost,GradientBoosting,17303,8760,9.903031392694063,9.726680406014667,1.7807778213194176,0.15093341940582183
1012110,소양강댐,부진,예측유입량포함,XGBoost,XGBoost,17472,8760,14.51364611872146,15.270954937117521,-5.217908802524761,0.04600012748867388
2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,16983,8578,11.033608650034973,12.284229637531663,-11.334650585896268,0.8973786940961641
1003110,충주댐,부진,기본변수,XGBoost,XGBoost,17472,8760,22.13576484018265,25.19779119281355,-13.832936764274173,-0.32042890162862747
3303110,부안댐,부진,기본변수,XGBoost,XGBoost,17472,8760,0.07897397260273971,0.09154723593170784,-15.920768469144923,0.9756834050985458
3203110,보령댐,양호,기본변수,GradientBoosting,GradientBoosting,17416,8735,0.2974737263880939,0.47198685280981745,-58.66505541200237,0.8987591367598393
4001110,섬진강댐,우수,예측유입량포함,GradientBoosting,GradientBoosting,17353,8664,1.1480491689750694,1.8450796808434184,-60.71434314007901,0.9364026513920641
5101110,장흥댐,양호,기본변수,XGBoost,RandomForest,17443,8760,0.3066683789954338,0.49917676843465153,-62.77412430646595,0.9213074991718764
3001110,용담댐,우수,예측유입량포함,XGBoost,GradientBoosting,17280,8668,0.8429194739270882,1.4369885221647678,-70.4775564704851,0.88330906690871
4007110,주암(본)댐,부진,기본변수,XGBoost,XGBoost,17319,8695,2.549970327774583,4.481189921934074,-75.73498299664175,0.8838385405267141
2021110,밀양댐,양호,기본변수,GradientBoosting,XGBoost,17472,8760,0.09726563926940639,0.23054176316746916,-137.02282213857097,0.6879896116693156
2008101,군위댐,양호,예측유입량포함,XGBoost,RandomForest,17472,8760,0.016984703196347033,0.042778876284867116,-151.8670817519363,0.8245036084065714
2004101,영주댐,양호,예측유입량포함,GradientBoosting,XGBoost,17436,8760,0.1070208904109589,0.31469489546002893,-194.0499693579491,0.9307001263329422
1006110,횡성댐,양호,기본변수,XGBoost,XGBoost,17472,8760,0.20856198630136985,0.7590616939554475,-263.9501653281204,0.8622313623109426
2012101,보현산댐,부진,예측유입량포함,GradientBoosting,RandomForest,17472,8760,0.0019863013698630124,0.009338876516223482,-370.164128058148,-22.039512941761757
2002111,성덕댐,양호,기본변수,GradientBoosting,RandomForest,17447,8760,0.005974429223744293,0.06349826866674527,-962.8340597689707,-1.0875155369987435
