유입량예측모델,MAE,RMSE,R2,댐코드,댐이름
XGBoost,34.367265506956024,102.92017391345823,0.6049002580153185,1003110,충주댐
GradientBoosting,34.87759389293614,106.3956967577663,0.5777653702751069,1003110,충주댐
RandomForest,44.71911901377721,120.7052579724016,0.45655186788007607,1003110,충주댐
XGBoost,2.2544861575575177,4.557014347407903,0.8232620511485154,1006110,횡성댐
GradientBoosting,2.293867704815327,4.651516808639109,0.81585573067984,1006110,횡성댐
RandomForest,2.330952912944362,4.72214696563126,0.810221059699098,1006110,횡성댐
XGBoost,17.00021936377695,70.07744426384052,0.25197644242491557,1012110,소양강댐
GradientBoosting,17.50599743436561,75.25535851096286,0.13735199136658127,1012110,소양강댐
RandomForest,20.513396965413563,73.13513308873256,0.18527530915934243,1012110,소양강댐
XGBoost,26.73544869930581,37.473709649023306,0.4591046333953186,2001110,안동댐
RandomForest,29.18560108835649,38.891511331183175,0.4174012792277353,2001110,안동댐
GradientBoosting,39.87492330611062,56.861891485578525,-0.2453817311355817,2001110,안동댐
GradientBoosting,8.095891105450404,18.15662363308437,0.8413460593049167,2002110,임하댐
XGBoost,8.311788358440573,19.106790458455052,0.8243063105453434,2002110,임하댐
RandomForest,8.802914906637458,18.496522029303804,0.8353503433588083,2002110,임하댐
RandomForest,0.428414202721625,1.4514445182055586,0.7200993596900473,2002111,성덕댐
XGBoost,0.4382978394335671,1.6814782796588899,0.624348146119722,2002111,성덕댐
GradientBoosting,0.43898873156344365,1.5306210211372202,0.688729215636714,2002111,성덕댐
XGBoost,3.5774488265470827,5.75651673977647,0.5896635297439428,2004101,영주댐
GradientBoosting,3.674515066770204,6.1654205785697265,0.5292980583585882,2004101,영주댐
RandomForest,3.6863774722031137,5.628969519658178,0.6076457434898472,2004101,영주댐
RandomForest,0.690577707245621,4.174631231517377,0.5810263922697905,2008101,군위댐
GradientBoosting,0.7459269568081595,4.420595147756586,0.5302011860378035,2008101,군위댐
XGBoost,0.7549104618287624,4.326453160502829,0.5499980007090745,2008101,군위댐
RandomForest,0.6497698700221518,8.815187191844153,-16.705893130760717,2012101,보현산댐
XGBoost,0.6518029794292315,2.277748087697045,-0.18213245770098951,2012101,보현산댐
GradientBoosting,0.9722914069076011,18.13876122722521,-73.96697869559051,2012101,보현산댐
RandomForest,5.428893514656304,18.046348757876657,0.760945549068509,2015110,합천댐
XGBoost,5.583152787532445,18.10590911228538,0.7593649895980795,2015110,합천댐
GradientBoosting,5.668163127621446,17.67170044614546,0.770768221311077,2015110,합천댐
GradientBoosting,14.653862104650544,25.22082517297624,0.809926131738939,2018110,남강댐
XGBoost,14.713117003289879,25.24912909838994,0.809499273751644,2018110,남강댐
RandomForest,14.837083371936398,25.86609076970641,0.8000757734778428,2018110,남강댐
XGBoost,1.6637591229031619,6.155399215407566,0.65756160910299,2021110,밀양댐
GradientBoosting,1.7045008300082636,6.994483275656084,0.5578381485064947,2021110,밀양댐
RandomForest,1.7731851409394828,7.659244474741604,0.4697973892788534,2021110,밀양댐
GradientBoosting,9.897116953958829,24.333058404697113,0.7214605814064883,3001110,용담댐
XGBoost,9.965414935776096,24.794825357568023,0.7107886217895003,3001110,용담댐
RandomForest,10.286746654815726,25.471808989951192,0.6947800995367918,3001110,용담댐
GradientBoosting,43.22413886602125,549.9465896625771,0.0007099158685953677,3008110,대청댐
XGBoost,43.49849629502417,549.4016117308488,0.0026894579481077097,3008110,대청댐
RandomForest,45.56410252852694,550.9197793707121,-0.002829916232590657,3008110,대청댐
GradientBoosting,2.0209805387557216,10.916709782787303,0.701171439795591,3203110,보령댐
RandomForest,2.117288300383551,11.603930559431562,0.6623639467389422,3203110,보령댐
XGBoost,2.2489358602334106,13.351588493301486,0.5530031633168702,3203110,보령댐
XGBoost,1.0140512681841203,6.2017712453031315,0.44155066148685085,3303110,부안댐
GradientBoosting,1.275979769051269,6.401635916726126,0.4049763385436953,3303110,부안댐
RandomForest,1.3662974704696875,6.60834752619239,0.36592877799800594,3303110,부안댐
GradientBoosting,8.870318516529823,18.017320631820425,0.8225752842757734,4001110,섬진강댐
XGBoost,8.9275973906768,18.730683930281664,0.808247526623905,4001110,섬진강댐
RandomForest,8.928531129192747,18.148204299846785,0.8199881799959973,4001110,섬진강댐
XGBoost,10.821926613184802,20.299726794316133,0.3935517391116182,4007110,주암(본)댐
GradientBoosting,11.617813140187499,22.600922336571262,0.248263400810126,4007110,주암(본)댐
RandomForest,11.768543523474767,21.262802809697053,0.33464351799979386,4007110,주암(본)댐
GradientBoosting,5.7892457505478845,9.981490739058344,0.5622799743584087,4104610,주암(조)댐
XGBoost,5.800567556233603,10.208765614212073,0.5421195875391085,4104610,주암(조)댐
RandomForest,5.97812226263887,9.982080563339482,0.5622282414991973,4104610,주암(조)댐
RandomForest,3.190191528595839,10.767888606165824,0.6868752564840563,5101110,장흥댐
GradientBoosting,3.2313847833763716,10.862929990931125,0.6813233519488529,5101110,장흥댐
XGBoost,3.243763982727348,11.50123466141173,0.6427722334950642,5101110,장흥댐
