dam_code,dam_name,model_path,train_rows_inflow,train_rows_discharge,inflow_MAE,inflow_R2,discharge_MAE,discharge_R2,change_accuracy,change_auc,change_rate
1012110,소양강,models\dam_1012110_models.joblib,29265,29265,12.958013513575166,0.7460256242482388,7.341419725453171,0.6698308057750173,0.9877669571160089,0.9977855225768901,0.11334358448658807
1003110,충주,models\dam_1003110_models.joblib,29265,29265,32.87026312529175,0.9413864068891994,14.789581566144738,0.9767453481199357,0.9934050914061165,0.9989331104096206,0.11457372287715702
1006110,횡성,models\dam_1006110_models.joblib,29265,29265,2.0261613371467204,0.9192184925951926,0.1484530624435053,0.9923774392257815,1.0,1.0000000000000002,0.004544677942935247
2001110,안동,models\dam_2001110_models.joblib,29014,29023,20.557966936610462,0.703883092000475,5.818458076273655,0.9183410974324286,0.973055852255108,0.9962600418632654,0.32567274230782484
2002110,임하,models\dam_2002110_models.joblib,29096,29110,9.288835734116981,0.8627954722609134,2.856532840547017,0.9747784865004134,0.9935760906904844,0.9997907410073711,0.30006870491240123
2002111,성덕,models\dam_2002111_models.joblib,29240,29241,0.38760145504027455,0.9241497000699992,0.011750129523187871,0.9863594814382664,1.0,1.0,0.001299545159194282
2004101,영주,models\dam_2004101_models.joblib,29229,29232,3.6454401138309422,0.9438819415408243,0.18643663153377,0.9941933713387037,0.9997605363984674,0.9999844967016949,0.013854679802955665
2008101,군위,models\dam_2008101_models.joblib,29265,29265,0.602063077996545,0.8887506484678983,0.00984665856019278,0.9948881635533805,1.0,1.0,0.0005125576627370579
2012101,보현산,models\dam_2012101_models.joblib,29265,29265,0.30524375353875,0.592778571049654,0.002795875492624714,0.9851904429527378,1.0,1.0,0.00017085255424568598
2015110,합천,models\dam_2015110_models.joblib,29109,29121,4.899101989803308,0.9397480527513848,2.928393070191862,0.9596146382003055,0.9897324954500188,0.9995574816775541,0.3994711720064558
2018110,남강,models\dam_2018110_models.joblib,28679,28620,15.401641559922593,0.9067554923531158,3.0250225464301272,0.984909348238663,0.9963312368972747,0.9999401411065275,0.22253668763102724
2021110,밀양,models\dam_2021110_models.joblib,29265,29265,1.504363373478982,0.9603002705923683,0.049777589896293134,0.9913841472550162,0.9997949769349052,0.9999739806713558,0.004100461301896463
3001110,용담,models\dam_3001110_models.joblib,28981,29004,9.113451209599495,0.8989814086701171,0.35899533527650934,0.9973081780662459,0.9986553578816715,0.9998741903468423,0.0651289477313474
3008110,대청,models\dam_3008110_models.joblib,28845,28852,29.34162315878424,0.8141328022280941,8.892625673781511,0.97768201912471,0.9655136558990711,0.9971910087200302,0.31543740468598364
4001110,섬진강,models\dam_4001110_models.joblib,29050,29066,7.73605598612747,0.9408655209458334,0.34287358755628805,0.9957037069571607,0.9994151242000964,0.9999207495912248,0.038945847381820685
4007110,주암(본),models\dam_4007110_models.joblib,29047,29062,8.993718232082712,0.8949437508004766,0.7935183073533224,0.9904344145314068,0.9964214438097859,0.9994505468823035,0.03138118505264607
4104610,주암(조),models\dam_4104610_models.joblib,29265,29265,5.294994986103155,0.7615295433728064,0.8466162395934895,0.9699901626101611,0.9944985477532889,0.9998895030009595,0.4334187596104562
3303110,부안,models\dam_3303110_models.joblib,29265,29265,0.920455926905561,0.8862082720557912,0.036334235105757,0.9933016121810693,1.0,1.0,0.0037587561934050912
3203110,보령,models\dam_3203110_models.joblib,29184,29190,1.5742664948068297,0.9304932758928293,0.12858082444796867,0.9928605188709122,0.9998972250770812,0.9999818611960034,0.004419321685508736
5101110,장흥,models\dam_5101110_models.joblib,29236,29239,2.7737284845164747,0.8896720844643611,0.10057626173847693,0.995109283205927,0.9998289955196826,0.9999876266174528,0.0056089469544102055
