댐코드,댐이름,입력변수세트,방류량모델,유입량예측모델,평가구간,평가건수,기준선,기준선_MAE,모델_MAE,개선율(%)
2015110,합천댐,기본변수,RandomForest,RandomForest,전체,8695,현재방류량유지,19.741426106958023,13.334277074981392,32.4553504760144
2015110,합천댐,기본변수,RandomForest,RandomForest,최근24시간누적강우,2478,현재방류량유지,18.86448224374496,12.374716558461648,34.402034476377814
2015110,합천댐,기본변수,RandomForest,RandomForest,유입량급증,870,현재방류량유지,25.761166666666668,13.554521577864854,47.38389858948604
2015110,합천댐,기본변수,RandomForest,RandomForest,방류량변화,4282,현재방류량유지,39.8627564222326,13.861056192750722,65.22805386077111
4104610,주암(조)댐,예측유입량포함,RandomForest,GradientBoosting,전체,8760,현재방류량유지,6.73137100456621,4.306490080927595,36.023581555580606
4104610,주암(조)댐,예측유입량포함,RandomForest,GradientBoosting,최근24시간누적강우,2581,현재방류량유지,6.591935683843472,4.343068866969699,34.11542412929848
4104610,주암(조)댐,예측유입량포함,RandomForest,GradientBoosting,유입량급증,879,현재방류량유지,7.307268486916951,4.217140166320659,42.28841907381543
4104610,주암(조)댐,예측유입량포함,RandomForest,GradientBoosting,방류량변화,4220,현재방류량유지,13.4514682464455,5.564092366217865,58.63579897541552
2002110,임하댐,기본변수,RandomForest,GradientBoosting,전체,8760,현재방류량유지,9.903031392694064,10.443414243987077,-5.456741777994162
2002110,임하댐,기본변수,RandomForest,GradientBoosting,최근24시간누적강우,2143,현재방류량유지,10.2024801679888,12.261121299993908,-20.177849876780733
2002110,임하댐,기본변수,RandomForest,GradientBoosting,유입량급증,877,현재방류량유지,16.477939566704677,17.52837091761349,-6.374773658178199
2002110,임하댐,기본변수,RandomForest,GradientBoosting,방류량변화,2246,현재방류량유지,38.26499955476402,17.332275142506155,54.70462473754747
3008110,대청댐,기본변수,RandomForest,GradientBoosting,전체,8369,현재방류량유지,41.12401899868562,37.11861673443533,9.73981230866154
3008110,대청댐,기본변수,RandomForest,GradientBoosting,최근24시간누적강우,2309,현재방류량유지,43.35760025985275,46.71984810958124,-7.754690826009079
3008110,대청댐,기본변수,RandomForest,GradientBoosting,유입량급증,837,현재방류량유지,54.2243835125448,46.9915146173736,13.338775706869733
3008110,대청댐,기본변수,RandomForest,GradientBoosting,방류량변화,3614,현재방류량유지,94.8152545655783,46.73670730949056,50.70760762745679
2018110,남강댐,기본변수,RandomForest,GradientBoosting,전체,8578,현재방류량유지,11.033608650034973,12.881647912639982,-16.749182622125648
2018110,남강댐,기본변수,RandomForest,GradientBoosting,최근24시간누적강우,2072,현재방류량유지,10.57096138996139,18.759882126811227,-77.46618717788873
2018110,남강댐,기본변수,RandomForest,GradientBoosting,유입량급증,858,현재방류량유지,11.921037296037296,14.605534751396752,-22.51899217068817
2018110,남강댐,기본변수,RandomForest,GradientBoosting,방류량변화,2211,현재방류량유지,41.74720759837178,24.181457799616386,42.076466449556
