obsrdt,totdcwtrqy,target_discharge_3h,inflowqy,target_inflow_3h,prediction,baseline_prediction,predicted_inflow_3h,feature_set,model,eval_scope
2025-01-04 14:00:00,3.678,3.678,0.0,3.678,3.521949416475779,3.678,2.0713002513227514,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-04 20:00:00,3.678,3.678,0.0,3.678,3.521949416475779,3.678,1.725875542328042,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-05 02:00:00,3.345,3.345,0.0,3.332,3.479685243594461,3.345,1.8503280687830688,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-05 07:00:00,3.576,3.576,0.0,3.583,3.4381265154882255,3.576,2.160697261904761,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-05 14:00:00,3.197,3.197,0.0,3.192,3.4540288827259866,3.197,2.040667966269841,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-06 16:00:00,3.569,3.166,0.648,4.414,3.491292191367599,3.569,2.0035934788359793,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-07 02:00:00,3.634,3.634,0.0,3.622,3.4687837405964053,3.634,1.729390634920635,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-07 11:00:00,3.636,3.291,0.0,3.288,3.521949416475779,3.636,1.5262931845238092,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-07 13:00:00,3.331,3.291,0.188,3.291,3.470207765717976,3.331,1.7792628373015864,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-08 07:00:00,3.533,3.612,0.0,3.612,3.4265195677150873,3.533,2.2417461044973535,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-08 21:00:00,3.182,3.182,0.0,4.015,3.4170420898386022,3.182,1.9462262896825389,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-08 23:00:00,3.182,3.834,0.682,5.806,3.4170420898386022,3.182,2.2958636177248675,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-09 03:00:00,3.834,3.834,0.0,3.834,3.514885446637539,3.834,2.338141984126985,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-09 04:00:00,3.834,3.8,0.695,3.8,3.514885446637539,3.834,2.3642353902116398,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-09 19:00:00,3.208,3.467,0.0,3.467,3.4170420898386022,3.208,1.9561859126984127,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-14 12:00:00,3.661,3.661,0.0,3.661,3.521949416475779,3.661,1.6508694047619048,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-14 14:00:00,3.661,3.661,0.0,3.661,3.521949416475779,3.661,1.993792708333334,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-14 16:00:00,3.661,3.661,0.0,3.661,3.521949416475779,3.661,1.8254117261904763,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-16 02:00:00,3.427,3.752,0.344,3.752,3.4265195677150873,3.427,1.4417119378306873,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-16 13:00:00,3.593,3.593,0.0,5.649,3.491292191367599,3.593,1.8059620171957675,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-16 17:00:00,3.97,4.02,0.0,4.02,3.699218920373274,3.97,2.427990952380953,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-17 03:00:00,3.551,3.435,0.0,3.435,3.5691481796573425,3.551,2.061395615079365,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-17 21:00:00,3.781,3.781,0.0,3.781,3.5706286286536986,3.781,1.6009349074074075,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-19 13:00:00,3.393,3.393,0.31,3.393,3.4265195677150873,3.393,1.7090514550264555,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-24 17:00:00,4.01,3.916,0.0,3.916,3.7391646261353535,4.01,1.570634682539683,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-25 09:00:00,3.706,3.706,0.0,3.706,3.5468618058836086,3.706,1.8143051190476185,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-25 11:00:00,3.706,3.706,0.595,3.595,3.5468618058836086,3.706,1.581112132936508,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-26 01:00:00,3.712,3.712,0.0,3.712,3.5468618058836086,3.712,1.3245993452380953,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-27 17:00:00,3.346,3.346,0.235,3.346,3.4265195677150873,3.346,1.6228093452380956,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-28 03:00:00,3.508,3.261,1.452,8.4,3.4265195677150873,3.508,2.859489798280424,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-28 12:00:00,3.096,3.096,0.735,6.207,3.4170420898386022,3.096,2.710212857142857,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-28 17:00:00,3.813,3.813,1.757,6.702,3.514885446637539,3.813,2.628700952380953,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-28 19:00:00,3.813,3.82,1.341,4.431,3.514885446637539,3.813,3.2622710582010574,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-29 09:00:00,3.845,3.845,0.734,3.845,3.6414630298992345,3.845,2.4522963492063496,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-01-31 07:00:00,3.394,3.394,0.311,3.394,3.4265195677150873,3.394,1.7370594841269842,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-02 23:00:00,3.279,3.279,0.196,3.279,3.4170420898386022,3.279,1.7671801190476188,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-03 01:00:00,3.279,3.279,0.0,3.279,3.4170420898386022,3.279,1.8378006977513233,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-04 07:00:00,3.21,3.136,0.154,3.553,3.4170420898386022,3.21,2.3129009060846557,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-04 11:00:00,3.136,3.621,0.0,4.649,3.4170420898386022,3.136,2.0330537268518523,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-05 17:00:00,3.504,3.588,0.0,3.588,3.4265195677150873,3.504,2.072393865740741,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-05 19:00:00,3.511,3.588,0.455,3.588,3.4265195677150873,3.511,2.017210009920635,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-06 03:00:00,3.589,3.589,0.533,3.589,3.47511330837561,3.589,1.928953412698413,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-07 05:00:00,3.42,3.343,1.392,6.815,3.4265195677150873,3.42,2.589538009259259,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-07 13:00:00,3.236,3.288,0.0,4.288,3.4170420898386022,3.236,2.3742396660052916,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-07 18:00:00,3.288,3.288,0.0,3.288,3.4170420898386022,3.288,2.64227018037518,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-08 03:00:00,3.288,3.288,0.232,3.288,3.4170420898386022,3.288,1.8942056547619046,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-08 10:00:00,3.288,3.288,0.0,4.316,3.4170420898386022,3.288,2.04297380952381,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-08 17:00:00,3.288,3.288,0.0,3.288,3.4170420898386022,3.288,1.5702487500000004,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-09 04:00:00,3.427,3.427,0.0,3.427,3.4265195677150873,3.427,1.834680158730159,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-10 15:00:00,3.29,3.379,0.0,3.379,3.4170420898386022,3.29,2.419620638227512,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-12 14:00:00,3.784,3.785,0.0,4.396,3.5468618058836086,3.784,1.9647156268037516,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-13 15:00:00,3.493,3.547,0.0,3.547,3.4502863904851773,3.493,2.028867199074074,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-14 01:00:00,3.661,3.352,0.0,3.352,3.6351791753087506,3.661,1.923659682539682,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-15 09:00:00,3.601,3.623,0.0,3.514,3.521949416475779,3.601,2.02682138888889,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-16 20:00:00,3.506,3.892,0.0,3.902,3.5691481796573425,3.506,1.637971924603175,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-17 05:00:00,3.07,3.42,0.064,3.421,3.5596707017808575,3.07,1.8082152810846561,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-17 12:00:00,3.803,3.623,2.311,5.915,3.514885446637539,3.803,1.9237460978835965,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-17 14:00:00,3.763,3.618,0.273,4.609,3.517462952774325,3.763,2.067683660714286,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-18 01:00:00,3.592,3.12,0.0,3.121,3.491292191367599,3.592,2.128185482503607,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-18 03:00:00,3.835,3.878,0.0,3.878,3.514885446637539,3.835,1.97090533068783,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-18 10:00:00,3.281,3.928,3.283,7.235,3.4170420898386022,3.281,2.1123749007936503,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-18 19:00:00,3.787,3.786,0.0,3.786,3.63632474194649,3.787,1.9480646957671959,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-19 10:00:00,3.951,3.723,0.0,6.529,3.6622321274858898,3.951,1.8945323677248675,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-19 12:00:00,3.218,3.899,0.0,4.205,3.4170420898386022,3.218,2.4361016964285707,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-19 14:00:00,3.899,3.765,0.0,3.376,3.5564706751983013,3.899,2.8737894146825385,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-20 02:00:00,3.705,3.062,0.0,3.062,3.5468618058836086,3.705,2.512301567460318,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-20 14:00:00,4.0,3.148,1.0,4.148,3.7391646261353535,4.0,2.769143779761905,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-21 11:00:00,3.514,3.474,0.0,3.474,3.4265195677150873,3.514,1.9104462301587297,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-22 05:00:00,3.407,3.442,0.0,3.442,3.4265195677150873,3.407,2.4743419411375673,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-22 19:00:00,3.552,3.367,0.0,3.367,3.4265195677150873,3.552,2.1566795634920632,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-23 11:00:00,3.734,3.392,0.0,3.392,3.5306829228916192,3.734,2.141498058862434,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-23 13:00:00,3.441,3.39,1.274,6.362,3.4265195677150873,3.441,1.9499550099206355,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-23 15:00:00,3.389,3.472,0.0,3.555,3.4265195677150873,3.389,2.010364378306878,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-02-24 16:00:00,3.697,3.432,0.0,3.432,3.493696130004235,3.697,2.025618634259259,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-01 10:00:00,3.601,3.321,0.0,3.321,3.4687837405964053,3.601,1.9835640476190481,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-02 17:00:00,3.734,3.576,2.734,9.437,3.5385505960870276,3.734,6.349459126984127,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-02 21:00:00,3.577,3.239,2.605,12.072,3.536146657450392,3.577,5.553436498015875,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-02 22:00:00,3.573,2.854,2.406,10.021,3.536146657450392,3.573,6.058749771825396,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-02 23:00:00,3.569,3.099,4.041,13.71,3.491292191367599,3.569,5.325079950396827,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-03 01:00:00,2.854,3.104,10.021,14.215,3.4540288827259866,2.854,11.232878849206347,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-03 03:00:00,3.107,3.368,10.857,20.674,3.4540288827259866,3.107,13.64712434854497,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-03 05:00:00,3.222,3.366,12.861,27.422,3.4540288827259866,3.222,17.16753316798941,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-03 13:00:00,3.114,3.389,15.864,26.583,3.4170420898386022,3.114,15.020553214285716,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-03 15:00:00,3.12,3.588,11.62,15.505,3.4540288827259866,3.12,13.199753611111106,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-04 08:00:00,3.236,3.215,7.125,12.715,3.470207765717976,3.236,11.85809806878307,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-04 09:00:00,3.218,3.268,6.218,11.435,3.470207765717976,3.218,9.33842902777778,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-04 17:00:00,3.355,3.281,8.355,13.281,3.4265195677150873,3.355,8.131254920634923,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-04 22:00:00,3.33,3.449,7.358,11.449,3.4170420898386022,3.33,7.38990613095238,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-05 00:00:00,3.617,3.533,3.617,8.533,3.4687837405964053,3.617,6.113082212301584,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-06 10:00:00,3.609,3.138,3.609,7.055,3.4687837405964053,3.609,4.142396378968256,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-06 11:00:00,3.252,3.142,4.252,8.142,3.4540288827259866,3.252,4.171083792989419,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-12 00:00:00,3.508,3.665,0.48,3.665,3.4265195677150873,3.508,1.8190475297619046,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-13 05:00:00,3.558,3.671,0.558,3.671,3.4381265154882255,3.558,1.9828371572871573,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-14 09:00:00,3.49,3.069,0.0,3.069,3.479685243594461,3.49,1.8248207638888885,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-14 23:00:00,3.508,3.253,0.0,3.253,3.4265195677150873,3.508,1.824802685185184,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-15 09:00:00,3.251,3.421,0.0,3.421,3.4170420898386022,3.251,2.3306228625541126,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-16 11:00:00,2.842,3.602,0.0,3.602,3.4170420898386022,2.842,2.2702634920634917,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-16 15:00:00,3.606,3.392,0.0,6.892,3.4687837405964053,3.606,1.8965634920634913,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-17 22:00:00,3.31,3.417,0.31,3.417,3.4170420898386022,3.31,2.04617246031746,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-17 23:00:00,3.273,3.616,0.301,3.616,3.4170420898386022,3.273,2.2633453968253976,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-18 00:00:00,3.275,3.618,0.0,3.618,3.4170420898386022,3.275,2.1316040773809517,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-18 12:00:00,3.511,3.117,3.511,7.811,3.4635063606024716,3.511,2.9767247949735443,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-19 00:00:00,3.461,3.194,0.0,3.194,3.4265195677150873,3.461,2.2797954794973534,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
2025-03-19 13:00:00,3.564,3.131,0.0,3.131,3.4381265154882255,3.564,2.466326694925444,기본피처,GradientBoosting,2025_유입량증가상위5퍼센트
