댐코드,댐이름,평가구간,평가건수,유입급증기준값,기준선,기준선_MAE,모델_MAE,개선율(%)
2015110,합천댐,전체,8695,7.8902,현재방류량유지,19.741426106958023,12.785081052045822,35.23729753475299
2015110,합천댐,전체,8695,7.8902,최근3시간평균,20.493092505271235,12.785081052045822,37.612729514799966
2015110,합천댐,전체,8695,7.8902,최근6시간평균,18.623965861606287,12.785081052045822,31.351457863211905
2015110,합천댐,전체,8695,7.8902,최근3시간변화량반영,29.107665669925247,12.785081052045822,56.07658409634793
2015110,합천댐,강우발생,611,7.8902,현재방류량유지,18.716744680851065,14.01230528080951,25.134923194494522
2015110,합천댐,강우발생,611,7.8902,최근3시간평균,18.85664975450083,14.01230528080951,25.69037732980663
2015110,합천댐,강우발생,611,7.8902,최근6시간평균,17.19282951445717,14.01230528080951,18.499132042071427
2015110,합천댐,강우발생,611,7.8902,최근3시간변화량반영,26.704738134206217,14.01230528080951,47.52876732814284
2015110,합천댐,최근24시간누적강우,2478,7.8902,현재방류량유지,18.86448224374496,13.072680382472996,30.70215119841095
2015110,합천댐,최근24시간누적강우,2478,7.8902,최근3시간평균,19.23995453322573,13.072680382472996,32.054515202218326
2015110,합천댐,최근24시간누적강우,2478,7.8902,최근6시간평균,17.220844901802526,13.072680382472996,24.08804296759758
2015110,합천댐,최근24시간누적강우,2478,7.8902,최근3시간변화량반영,27.82072719935432,13.072680382472996,53.01100403020237
2015110,합천댐,유입량급증,870,7.8902,현재방류량유지,25.761166666666668,15.28040198527424,40.68435570875709
2015110,합천댐,유입량급증,870,7.8902,최근3시간평균,26.306627969348664,15.28040198527424,41.91425064786601
2015110,합천댐,유입량급증,870,7.8902,최근6시간평균,23.081025095785442,15.28040198527424,33.796692643151204
2015110,합천댐,유입량급증,870,7.8902,최근3시간변화량반영,32.736545977011495,15.28040198527424,53.32310868713957
2015110,합천댐,방류량변화,4282,7.8902,현재방류량유지,39.8627564222326,15.468265043318537,61.19619807652978
2015110,합천댐,방류량변화,4282,7.8902,최근3시간평균,35.31638284290831,15.468265043318537,56.20087959708865
2015110,합천댐,방류량변화,4282,7.8902,최근6시간평균,26.495354701852715,15.468265043318537,41.618954653070176
2015110,합천댐,방류량변화,4282,7.8902,최근3시간변화량반영,55.09032741709482,15.468265043318537,71.9219947156846
2018110,남강댐,전체,8578,34.5208,현재방류량유지,11.033608650034973,12.284229637531663,-11.334650585896268
2018110,남강댐,전체,8578,34.5208,최근3시간평균,14.267432190875883,12.284229637531663,13.900206616103574
2018110,남강댐,전체,8578,34.5208,최근6시간평균,18.37381829486283,12.284229637531663,33.142749969579086
