댐코드,댐이름,방류량_모델,입력변수세트,실사용가능여부,유입량예측모델,학습행수,평가행수,실제평균,실제최대,기준선_MAE,기준선_RMSE,기준선_R2,모델_MAE,모델_RMSE,모델_R2,MAE_개선율(%),고방류_기준값,고방류_건수,고방류_MAE,방류변화_건수,방류변화_MAE
2018110,남강댐,GradientBoosting,기본변수,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.284229637531663,22.844922828894568,0.8973786940961641,-11.334650585896268,105.2806,561,30.66127314045487,2211,26.725669986417458
2018110,남강댐,RandomForest,기본변수,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.797642186442308,28.03649052026582,0.8454370330718669,-15.987820416321766,105.2806,561,57.67604340652674,2211,24.068440830632586
2018110,남강댐,XGBoost,기본변수,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.353157762824807,22.205169040189663,0.9030458700107391,-11.959361208498654,105.2806,561,27.233294052450415,2211,27.291343080448595
2018110,남강댐,GradientBoosting,예측유입량포함,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.2991257117196,22.834785424677236,0.8974697500255839,-11.469656952901051,105.2806,561,30.033781411200444,2211,26.734132226341252
2018110,남강댐,RandomForest,예측유입량포함,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.89906926745542,28.306807368137804,0.842442193766175,-16.907076157849183,105.2806,561,59.005619876992796,2211,24.369387464835594
2018110,남강댐,XGBoost,예측유입량포함,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.384481697626342,22.189785701569072,0.9031801596056578,-12.243256856740947,105.2806,561,27.404305387595546,2211,27.410423551852755
2018110,남강댐,GradientBoosting,실제미래유입량_참고용,불가_참고용,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.234059263721308,22.725389546190737,0.8984497915784041,-10.879945553284877,105.2806,561,29.952973990744542,2211,26.697088554906802
2018110,남강댐,RandomForest,실제미래유입량_참고용,불가_참고용,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.769149762704956,27.764800625153438,0.8484181285123412,-15.72958736998962,105.2806,561,57.014673328939686,2211,23.995089091367745
2018110,남강댐,XGBoost,실제미래유입량_참고용,불가_참고용,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.390779161624014,22.299350271226285,0.9022216813717575,-12.300332145501097,105.2806,561,28.337021277014582,2211,27.489337249543645
4001110,섬진강댐,GradientBoosting,기본변수,가능,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,1.8958229161018876,7.263117193460577,0.932597591353901,-65.13429627708364,39.4936,437,14.646361992293144,522,16.988375169872842
4001110,섬진강댐,RandomForest,기본변수,가능,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,3.1866392914804913,8.429303429828876,0.9092152947633316,-177.5699314625514,39.4936,437,11.05233855834105,522,15.557726930351338
4001110,섬진강댐,XGBoost,기본변수,가능,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,2.1261714050408766,7.991127485748389,0.9184084034362616,-85.19863630396894,39.4936,437,18.077510280967033,522,17.135501096078716
4001110,섬진강댐,GradientBoosting,예측유입량포함,가능,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,1.8450796808434184,7.055127205606947,0.9364026513920641,-60.71434314007901,39.4936,437,13.574847576800744,522,17.12466796171865
4001110,섬진강댐,RandomForest,예측유입량포함,가능,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,3.2394643746668486,8.574422366096393,0.9060624869933565,-182.17122247115148,39.4936,437,12.030441614679807,522,15.72740431575867
4001110,섬진강댐,XGBoost,예측유입량포함,가능,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,2.083212491109871,7.697686134225626,0.9242906162236179,-81.45673089678526,39.4936,437,17.187996916083506,522,17.086449281615774
4001110,섬진강댐,GradientBoosting,실제미래유입량_참고용,불가_참고용,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,1.8706637612265313,7.156243820707841,0.9345665873976265,-62.94282612447534,39.4936,437,14.027544710784621,522,17.120058072783575
4001110,섬진강댐,RandomForest,실제미래유입량_참고용,불가_참고용,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,3.251833666647003,8.60762041560748,0.9053336730423671,-183.24864078339996,39.4936,437,12.183271999484676,522,15.711920506533762
