댐코드,댐이름,입력변수세트,방류량_모델,실사용가능여부,유입량예측모델,학습행수,평가행수,실제평균,실제최대,기준선_MAE,기준선_RMSE,기준선_R2,모델_MAE,모델_RMSE,모델_R2,MAE_개선율(%)
2015110,합천댐,기본변수,XGBoost,가능,RandomForest,17381,8695,16.051598504887863,116.868,19.741426106958023,28.98533507040889,-0.4725961672573737,12.785081052045822,16.324381575188948,0.5329100846951503,35.23729753475299
2015110,합천댐,예측유입량포함,XGBoost,가능,RandomForest,17381,8695,16.051598504887863,116.868,19.741426106958023,28.98533507040889,-0.4725961672573737,12.86414606246547,16.40877044604776,0.5280683608087573,34.83679450122704
2015110,합천댐,실제미래유입량_참고용,XGBoost,불가_참고용,RandomForest,17381,8695,16.051598504887863,116.868,19.741426106958023,28.98533507040889,-0.4725961672573737,12.657467128769918,16.081141322086957,0.5467260583279947,35.88372460939541
2018110,남강댐,기본변수,GradientBoosting,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117972,0.8769679681171832,12.284229637531665,22.844922828894568,0.8973786940961641,-11.334650585896268
2018110,남강댐,예측유입량포함,GradientBoosting,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117972,0.8769679681171832,12.2991257117196,22.83478542467724,0.8974697500255839,-11.469656952901053
2018110,남강댐,실제미래유입량_참고용,GradientBoosting,불가_참고용,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117972,0.8769679681171832,12.234059263721308,22.725389546190737,0.8984497915784041,-10.879945553284877
3001110,용담댐,기본변수,XGBoost,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,1.9865527784517407,7.062811782106285,0.8789513703755764,-135.67527384277466
3001110,용담댐,예측유입량포함,XGBoost,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,1.4542415194438798,6.985692031102991,0.8815804292030738,-72.52437088310411
3001110,용담댐,실제미래유입량_참고용,XGBoost,불가_참고용,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,1.442955602223388,7.014502206443651,0.8806016503580911,-71.18546277033842
4001110,섬진강댐,기본변수,GradientBoosting,가능,GradientBoosting,17353,8664,21.617458910433974,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,1.895822916101888,7.263117193460577,0.932597591353901,-65.13429627708364
4001110,섬진강댐,예측유입량포함,GradientBoosting,가능,GradientBoosting,17353,8664,21.617458910433974,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,1.8450796808434184,7.055127205606947,0.936402651392064,-60.71434314007901
4001110,섬진강댐,실제미래유입량_참고용,GradientBoosting,불가_참고용,GradientBoosting,17353,8664,21.617458910433974,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,1.8706637612265316,7.156243820707841,0.9345665873976264,-62.94282612447534
