obsrdt,totdcwtrqy,target_discharge_3h,댐코드,댐이름,유입량성능등급,입력변수세트,방류량모델,유입량예측모델,예측방류량
2025-01-01 00:00:00,4.495,4.246,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,5.026787068977887
2025-01-01 01:00:00,4.296,4.133,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,8.052281093363744
2025-01-01 02:00:00,4.228,4.082,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,8.877369680026094
2025-01-01 03:00:00,4.246,3.869,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,8.872799826628606
2025-01-01 04:00:00,4.133,3.846,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,10.469619882282489
2025-01-01 05:00:00,4.082,3.887,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,11.966302784074873
2025-01-01 06:00:00,3.869,3.864,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,18.33987186603199
2025-01-01 07:00:00,3.846,51.766,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,21.93663300420417
2025-01-01 08:00:00,3.887,52.692,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,21.93663300420417
2025-01-01 09:00:00,3.864,52.749,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,21.93663300420417
2025-01-01 10:00:00,51.766,52.732,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,53.33214491301905
2025-01-01 11:00:00,52.692,43.023,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,50.55121237816043
2025-01-01 12:00:00,52.749,4.231,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,45.376206687459174
2025-01-01 13:00:00,52.732,4.008,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,41.24238569895508
2025-01-01 14:00:00,43.023,4.054,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,28.771383417157438
2025-01-01 15:00:00,4.231,4.146,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,8.694035062535418
2025-01-01 16:00:00,4.008,4.215,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,6.790100345482159
2025-01-01 17:00:00,4.054,4.223,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,5.89938384979595
2025-01-01 18:00:00,4.146,4.275,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,8.021892276339006
2025-01-01 19:00:00,4.215,4.461,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,11.467907958490507
2025-01-01 20:00:00,4.223,4.468,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,8.229824032556218
2025-01-01 21:00:00,4.275,4.43,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,11.20505933692878
2025-01-01 22:00:00,4.461,4.419,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,15.73678966342213
2025-01-01 23:00:00,4.468,4.419,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,12.100990369621067
2025-01-02 00:00:00,4.43,4.303,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,11.406818773218616
2025-01-02 01:00:00,4.419,4.014,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,9.742957273341323
2025-01-02 02:00:00,4.419,4.008,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,15.500804750325544
2025-01-02 03:00:00,4.303,4.041,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,16.842775792780245
2025-01-02 04:00:00,4.014,4.049,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,16.408016214062478
2025-01-02 05:00:00,4.008,4.4,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,16.408016214062478
2025-01-02 06:00:00,4.041,5.774,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,16.408016214062478
2025-01-02 07:00:00,4.049,52.532,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,18.126298919658772
2025-01-02 08:00:00,4.4,53.407,2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,30.88597394379556
